Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/ofbiz13.07/.svn/pristine/8e,10203,10203,0,"100.00"
/ofbiz13.07/.svn/pristine/8f,2574,2574,0,"100.00"
/ofbiz13.07/.svn/pristine/90,7445,7445,0,"100.00"
/ofbiz13.07/.svn/pristine/91,5031,5031,0,"100.00"
/ofbiz13.07/.svn/pristine/92,4129,4129,0,"100.00"
/ofbiz13.07/.svn/pristine/93,1534,1534,0,"100.00"
/ofbiz13.07/.svn/pristine/94,6812,6812,0,"100.00"
/ofbiz13.07/.svn/pristine/95,51924,51924,0,"100.00"
/ofbiz13.07/.svn/pristine/96,5663,5663,0,"100.00"
/ofbiz13.07/.svn/pristine/97,10485,10485,0,"100.00"
/ofbiz13.07/.svn/pristine/98,3297,3297,0,"100.00"
/ofbiz13.07/.svn/pristine/99,21604,21604,0,"100.00"
/ofbiz13.07/.svn/pristine/9a,2556,2556,0,"100.00"
/ofbiz13.07/.svn/pristine/9b,4834,4834,0,"100.00"
/ofbiz13.07/.svn/pristine/9c,4042,4042,0,"100.00"
/ofbiz13.07/.svn/pristine/9d,4718,4718,0,"100.00"
/ofbiz13.07/.svn/pristine/9e,8628,8628,0,"100.00"
/ofbiz13.07/.svn/pristine/9f,732,732,0,"100.00"
/ofbiz13.07/.svn/pristine/a0,3074,3074,0,"100.00"
/ofbiz13.07/.svn/pristine/a1,2421,2421,0,"100.00"
/ofbiz13.07/.svn/pristine/a2,3322,3322,0,"100.00"
/ofbiz13.07/.svn/pristine/a3,5096,5096,0,"100.00"
/ofbiz13.07/.svn/pristine/a4,2395,2395,0,"100.00"
/ofbiz13.07/.svn/pristine/a5,3192,3192,0,"100.00"
/ofbiz13.07/.svn/pristine/a6,4851,4851,0,"100.00"
/ofbiz13.07/.svn/pristine/a7,2669,2669,0,"100.00"
/ofbiz13.07/.svn/pristine/a8,18098,18098,0,"100.00"
/ofbiz13.07/.svn/pristine/a9,4042,4042,0,"100.00"
/ofbiz13.07/.svn/pristine/aa,2344,2344,0,"100.00"
/ofbiz13.07/.svn/pristine/ab,10385,10385,0,"100.00"
/ofbiz13.07/.svn/pristine/ac,3621,3621,0,"100.00"
